ICD9,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
424,0.075826101,0.035513867,0.09323936,0.038145673,0.01594671,0.113979556,0.053860899,0.027136298,0.028813038,0.107879497,0.038638819,0.068351939,0.103820749,0,0.026952557,0,0.019093506,0.114964053,0.012816599,0.015216757
410,0,0.01803934,0.01615406,0.017363613,0,0.015513926,0,0.227860659,0.018801428,0,0.013506976,0.262185633,0,0,0,0,0.059637927,0.086761288,0.186938688,0.048626244
414,0,0,0.026252247,0.031915162,0.032926247,0.095679238,0.011796921,0.014569921,0.142651141,0.010267457,0.115032159,0.160490245,0,0,0,0,0,0.01560602,0.305902541,0.014871408
410,0,0.020312229,0.010859532,0.05735239,0.037957061,0.042616725,0.040979423,0.078232825,0.110078022,0.028450081,0,0.312919408,0.032175437,0.023174327,0,0,0.039586172,0.038681388,0.096130826,0.01292453
410,0,0.016922446,0.089841858,0.028274652,0.010554582,0.046928003,0,0.122200131,0.016977094,0,0.032420166,0.076197848,0.139978066,0,0,0,0.219977096,0.067290261,0.028551277,0.079902075
414,0,0,0,0.084445491,0,0.117085457,0.026386395,0.013761257,0.022716988,0.028206922,0,0.199982166,0,0,0,0,0.016103594,0.376052856,0.065018706,0
410,0,0,0.011458502,0.152269989,0,0.096426077,0,0.155051202,0.068115257,0,0.049037997,0.172887072,0.014568787,0.012188208,0,0.010423824,0.087699324,0.095882252,0.015246814,0.033852216
410,0,0.019970363,0.016173827,0.072002612,0.019619858,0.082189262,0.033787176,0.074280962,0.043991927,0.010025973,0.084118448,0.097640127,0.010719392,0,0,0,0.204370499,0.099877134,0.014409343,0.095118299
424,0.091057055,0.086260311,0.010222081,0.074422725,0.019827163,0.129602522,0,0.272422731,0.039011482,0,0.016732924,0.096392736,0,0,0,0,0.014910254,0.061551619,0.03876416,0.013805338
38,0.013372187,0,0.031907402,0.117852114,0.363989145,0.037305027,0,0.061451174,0.068577908,0,0.010750185,0.060701527,0.025566792,0.023473132,0,0,0.135229871,0.016585756,0.02195639,0
410,0.011492809,0,0.0711224,0.04552282,0.029410426,0.028278787,0,0.050844558,0.023209685,0.013188224,0.019950015,0.355561048,0,0,0,0.036751807,0.02927646,0.068741031,0.193953723,0
38,0,0,0.010699828,0.04749367,0.12984094,0.011158935,0,0.444146156,0.016182479,0.147452801,0,0.124418601,0,0.016076474,0,0,0,0,0.010239165,0.011029794
424,0.146015063,0.042432569,0.012733182,0.040323243,0.01937104,0.147885039,0,0.032404449,0.057786714,0.012015695,0.022352397,0.120930098,0.011629717,0.219408438,0,0,0.020838702,0.034430362,0.024732236,0.018170886
410,0,0.014740515,0.013056063,0.123652816,0.173129022,0.091029011,0.017023623,0.034797948,0.112594791,0.010860744,0.049955547,0.204240158,0.011611896,0,0,0,0.027095336,0.030656131,0.015614508,0.045866899
410,0,0,0.026024206,0.019107031,0,0.06634108,0,0.03763948,0.013137505,0.013104765,0.020344058,0.070208028,0.012313432,0,0,0.010943702,0,0.029813727,0.638682365,0.014180291
414,0,0.268424779,0,0.099121906,0.012488398,0.10173703,0,0.046777528,0.183167085,0,0.014670964,0.107849106,0,0,0.020706665,0,0.013047542,0.069828212,0,0.011689104
414,0,0.017789504,0.015198509,0.049023144,0.02357376,0.247999102,0.010751202,0.039707176,0.036134403,0.013399371,0.057467107,0.179045781,0.01404772,0.010363261,0.105140224,0,0.028369848,0.033976458,0.083228134,0.022068586
410,0.017186891,0,0,0.086452253,0.04925796,0.110021912,0,0.026503878,0.104203805,0.017566567,0.050784901,0.159704015,0,0.088047661,0.012474991,0,0.082907528,0.121833019,0.045586541,0
410,0,0.02593362,0.025236666,0.124964274,0,0.032114122,0,0.03315039,0.011390218,0,0.08550863,0.11719162,0.014587124,0.013362982,0,0,0,0.034848694,0.435767621,0.017906871
38,0,0.016476484,0.010053939,0.455506474,0.083822958,0.032818336,0,0.191109687,0.030661125,0,0.01476525,0.04263771,0,0,0,0,0.06845668,0,0.010202723,0.024094144
410,0,0,0.039596777,0.087031461,0.012172772,0.16093424,0,0.047152996,0.018207263,0,0.073472627,0.120553389,0.197946429,0,0,0,0.149012342,0.021806926,0,0.027988229
410,0,0,0,0.0765827,0.044714309,0.039722946,0,0.271965176,0.025195267,0.018465117,0.253192544,0.116094492,0,0,0.03533116,0,0.01109775,0.025161073,0.018280279,0.034902107
410,0,0.02802268,0.125560716,0.03636007,0.203889757,0.109890461,0.060774244,0.055106454,0.017230289,0.023314929,0.041826099,0.100994952,0.030743867,0,0,0,0.031452943,0.017910426,0.091911577,0.011327919
410,0,0.031841107,0.080372937,0.048655774,0.014501648,0.149072573,0,0.025760062,0.047652993,0,0.108902574,0.134097114,0,0,0,0,0.067341529,0.222268909,0.012761092,0.014237788
414,0,0,0.022854334,0.033601817,0,0.284719765,0,0.047680173,0.028528748,0.01758825,0.0338456,0.048527468,0.135479346,0.03002562,0,0.014084746,0,0.252019525,0,0
424,0,0.026762087,0,0.157846555,0.017788261,0.348574251,0,0.038950182,0.179252118,0.014514295,0,0.077934355,0,0.013462453,0,0,0.015939103,0.067506917,0,0
410,0,0.01143884,0,0.163422585,0.015528612,0.084424488,0,0.031223187,0.068275124,0,0.019801524,0.056366995,0.100425869,0,0,0.118591309,0.292249829,0,0,0
