ICD9,T0,T1,T2,T3,T4
424,0,0.553436697,0.405516207,0.01481279,0.022062883
410,0,0.058636378,0.11767789,0.610200644,0.212202147
414,0.199402228,0.15262568,0.036787078,0.462431699,0.148753285
410,0.024013983,0.305574477,0.028650895,0.230567351,0.411193311
410,0,0.084598921,0.809227765,0.089466028,0.014279098
414,0,0.510115564,0.063888006,0.289378583,0.135125473
410,0.013330573,0.25678888,0.183417156,0.189162031,0.357301384
410,0,0.253279775,0.552609086,0.090796746,0.0985144
424,0.033932894,0.642203093,0.064135738,0.117521837,0.142206371
38,0,0.075606763,0.225523889,0.026904756,0.671317756
410,0,0.19785507,0.086190686,0.618478596,0.096193641
38,0,0.038589634,0.011233198,0.062512361,0.886768818
424,0,0.846127927,0.075160161,0.041859172,0.031442739
410,0,0.558202028,0.019058084,0.021036033,0.396293998
410,0,0.054181054,0.052680966,0.84040004,0.05151597
414,0.146429449,0.811831474,0.010098747,0.013201633,0.018438706
414,0.067165874,0.650223196,0.031869307,0.209286317,0.041455291
410,0.044775467,0.190588266,0.214364976,0.243617028,0.306654245
410,0,0.103358336,0.025230978,0.831956863,0.03805887
38,0,0.092109852,0.222771317,0.011821111,0.672471046
410,0,0.321393698,0.595673621,0.046968885,0.033281378
410,0.047511086,0.37622872,0.087084793,0.061209522,0.427965909
410,0,0.220030054,0.334689707,0.084034421,0.358721823
410,0,0.6565184,0.246353433,0.071118377,0.022423048
414,0,0.488346398,0.487026393,0.011068908,0.01164049
424,0.046190612,0.7696504,0.039243646,0,0.138045862
410,0.169753104,0.156740427,0.541274428,0,0.128797248
410,0.068302065,0.079824805,0.751416385,0.040707894,0.059748873
414,0,0.659904242,0.086748958,0.027183324,0.221360043
414,0,0.193512842,0.583087921,0.018185403,0.202916175
414,0,0.836569905,0.018752694,0.112147629,0.027721427
410,0,0.487531751,0,0.064315259,0.444119692
424,0,0.901594937,0.028747056,0.033224106,0.034253813
410,0.042389624,0.432964474,0.250656188,0.157884225,0.116105445
38,0,0.284342617,0.014693175,0.04967653,0.649208188
414,0,0.515958846,0.412843198,0.013627886,0.053983703
424,0,0.895508409,0.016122894,0.016873008,0.06669306
424,0,0.732913315,0.034365453,0.017778968,0.209951133
414,0.055987623,0.233232573,0.126700222,0.542767525,0.041312017
410,0.05681261,0.178339869,0.551544547,0.187404245,0.025898712
410,0,0.09252467,0.391519874,0,0.511101246
410,0,0.110505827,0.259179294,0.532998443,0.0962198
410,0,0.395890445,0,0.070962094,0.526837766
410,0,0.20648095,0.144454628,0.50275898,0.145318061
414,0,0.503918648,0.446778923,0.020282587,0.024394516
38,0,0.347609252,0.0499864,0,0.594610631
38,0,0.102170855,0,0.024675762,0.868065596
38,0,0.242941678,0,0.127456531,0.624330163
414,0.034043301,0.217394724,0.011736503,0.577935278,0.158890218
38,0,0.030968837,0.363088012,0,0.595325708
414,0,0.515071511,0.438846946,0.018172137,0.023737777
414,0,0.763132632,0.030889541,0,0.19583413
410,0,0.084800102,0.07898175,0.626978576,0.208297119
38,0,0.196500197,0,0.043835755,0.753187954
414,0.060164403,0.23580204,0.310013533,0.36151433,0.032505721
38,0.025628675,0.334314078,0,0.167697519,0.467900753
410,0,0.032930803,0.92617327,0.015503423,0.021353485
38,0,0.15164499,0,0,0.832476795
38,0.079739951,0.096681945,0.068091713,0,0.751410246
38,0.056345608,0.210814819,0,0.160641879,0.567879915
410,0.03363809,0.190264449,0,0.542339802,0.229943469
414,0,0.179544017,0.531710029,0.271214604,0.015275386
424,0,0.666353643,0.277797908,0.020593198,0.029606249
410,0,0.244822145,0.662330687,0,0.082282573
410,0.047231566,0.313143849,0.078390539,0.538621008,0.022613041
38,0,0.159119189,0.066572338,0.191806093,0.581376851
410,0,0.085281886,0.116562031,0.731180251,0.059091114
410,0,0.011294946,0.400600553,0.536653161,0.050229918
410,0.22052069,0.230837077,0.106931113,0.283818007,0.157893166
414,0,0.819933295,0.030195942,0.034645069,0.107526615
414,0,0.361394137,0.010276677,0.113602586,0.51198709
414,0,0.153236359,0.697535574,0.050179768,0.097040676
410,0,0.093975484,0.111254871,0.730516136,0.062777631
410,0,0.029184856,0.2652179,0.620953143,0.08206778
410,0,0.28815949,0.48819524,0.125314176,0.092414312
414,0,0.434823781,0.513620317,0.021349406,0.025407821
38,0,0.182467878,0,0.097899333,0.711322606
424,0,0.450096101,0.295971721,0.011456579,0.239405617
414,0,0.18915765,0.554478586,0,0.251707971
38,0.052211162,0.28158915,0,0.124336146,0.537857592
38,0,0.198237658,0,0.01181534,0.787202775
414,0,0.752362669,0.081446305,0.07133846,0.089858785
38,0,0.069648333,0,0.11114236,0.814718366
38,0.173800275,0.161971167,0.017108614,0.059365775,0.58775413
38,0,0.089598089,0.255187422,0,0.650662661
410,0,0.015995188,0.673570156,0.019070225,0.290407598
414,0,0.069354385,0.88945663,0.012768824,0.025025241
414,0,0.552876949,0.196774006,0.220515013,0.026031734
414,0.139365092,0.633054554,0.040600326,0.011853098,0.175126925
410,0,0.322612554,0.582745433,0.071521617,0.020317975
414,0,0.759236515,0.105887152,0.030733,0.098490655
414,0,0.93489933,0,0.043472558,0.012244055
414,0,0.217434257,0.220250696,0.550176203,0.010743764
410,0,0.073626578,0.818687439,0.088422932,0.01700666
410,0,0.892910182,0.026065834,0.027116744,0.046205495
38,0.297607064,0.053183075,0.013480441,0.02011862,0.615610838
414,0,0.882872701,0.01733123,0.065490223,0.029107384
38,0,0.095979482,0,0,0.884323716
38,0.281223208,0.063656785,0,0.019162066,0.632217169
38,0.215359509,0.028546693,0.028809741,0.023905879,0.703378141
38,0,0.023009732,0,0.052773818,0.913678646
424,0,0.541018605,0.03077689,0.072616339,0.353699028
414,0,0.147794276,0.631815612,0.012395148,0.204587713
38,0.373971939,0.287813634,0.04631697,0.138575301,0.15332213
410,0.010131111,0.129172429,0.766396463,0.037959307,0.056340702
424,0.081569009,0.835433841,0,0.01157546,0.061585769
38,0,0.085651964,0,0.060562685,0.849817634
410,0,0.215279907,0.748929858,0,0.023376387
414,0.018193685,0.572083116,0.175035164,0.12790741,0.106780626
38,0,0.184906304,0.031464871,0.015305577,0.767401159
414,0,0.326611638,0.551727533,0.067284957,0.051229015
38,0.059259072,0.306323975,0,0.026365174,0.603551209
414,0.022671064,0.59090966,0.107430339,0.216793552,0.062195368
